"week","staff_id","staff_name","role","service","present"
30,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
31,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
32,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
33,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
34,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
35,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
36,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
37,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
38,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
39,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
40,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
41,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
42,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
43,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
44,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
45,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
46,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
47,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
48,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
49,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
50,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
51,"STF-d8006e7c","Angie Henderson","doctor","emergency",0
52,"STF-d8006e7c","Angie Henderson","doctor","emergency",1
1,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
2,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
3,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
4,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
5,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
6,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
7,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
8,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
9,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
10,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
11,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
12,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
13,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
14,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
15,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
16,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
17,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
18,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
19,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
20,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
21,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
22,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
23,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
24,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
25,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
26,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
27,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
28,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
29,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
30,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
31,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
32,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
33,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
34,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
35,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
36,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
37,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
38,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
39,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
40,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
41,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
42,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
43,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
44,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
45,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
46,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
47,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
48,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
49,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
50,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
51,"STF-212d8b31","Daniel Wagner","doctor","emergency",0
52,"STF-212d8b31","Daniel Wagner","doctor","emergency",1
1,"STF-107a58e4","Cristian Santos","doctor","emergency",1
2,"STF-107a58e4","Cristian Santos","doctor","emergency",1
3,"STF-107a58e4","Cristian Santos","doctor","emergency",0
4,"STF-107a58e4","Cristian Santos","doctor","emergency",1
5,"STF-107a58e4","Cristian Santos","doctor","emergency",1
6,"STF-107a58e4","Cristian Santos","doctor","emergency",0
7,"STF-107a58e4","Cristian Santos","doctor","emergency",1
8,"STF-107a58e4","Cristian Santos","doctor","emergency",1
9,"STF-107a58e4","Cristian Santos","doctor","emergency",0
10,"STF-107a58e4","Cristian Santos","doctor","emergency",0
11,"STF-107a58e4","Cristian Santos","doctor","emergency",1
12,"STF-107a58e4","Cristian Santos","doctor","emergency",0
13,"STF-107a58e4","Cristian Santos","doctor","emergency",0
14,"STF-107a58e4","Cristian Santos","doctor","emergency",0
15,"STF-107a58e4","Cristian Santos","doctor","emergency",0
16,"STF-107a58e4","Cristian Santos","doctor","emergency",1
17,"STF-107a58e4","Cristian Santos","doctor","emergency",1
18,"STF-107a58e4","Cristian Santos","doctor","emergency",0
19,"STF-107a58e4","Cristian Santos","doctor","emergency",1
20,"STF-107a58e4","Cristian Santos","doctor","emergency",1
21,"STF-107a58e4","Cristian Santos","doctor","emergency",0
22,"STF-107a58e4","Cristian Santos","doctor","emergency",1
23,"STF-107a58e4","Cristian Santos","doctor","emergency",1
24,"STF-107a58e4","Cristian Santos","doctor","emergency",0
25,"STF-107a58e4","Cristian Santos","doctor","emergency",1
26,"STF-107a58e4","Cristian Santos","doctor","emergency",1
27,"STF-107a58e4","Cristian Santos","doctor","emergency",0
28,"STF-107a58e4","Cristian Santos","doctor","emergency",1
29,"STF-107a58e4","Cristian Santos","doctor","emergency",1
30,"STF-107a58e4","Cristian Santos","doctor","emergency",0
31,"STF-107a58e4","Cristian Santos","doctor","emergency",1
32,"STF-107a58e4","Cristian Santos","doctor","emergency",1
33,"STF-107a58e4","Cristian Santos","doctor","emergency",0
34,"STF-107a58e4","Cristian Santos","doctor","emergency",1
35,"STF-107a58e4","Cristian Santos","doctor","emergency",0
36,"STF-107a58e4","Cristian Santos","doctor","emergency",0
37,"STF-107a58e4","Cristian Santos","doctor","emergency",1
38,"STF-107a58e4","Cristian Santos","doctor","emergency",1
39,"STF-107a58e4","Cristian Santos","doctor","emergency",0
40,"STF-107a58e4","Cristian Santos","doctor","emergency",1
41,"STF-107a58e4","Cristian Santos","doctor","emergency",1
42,"STF-107a58e4","Cristian Santos","doctor","emergency",0
43,"STF-107a58e4","Cristian Santos","doctor","emergency",1
44,"STF-107a58e4","Cristian Santos","doctor","emergency",1
45,"STF-107a58e4","Cristian Santos","doctor","emergency",0
46,"STF-107a58e4","Cristian Santos","doctor","emergency",0
47,"STF-107a58e4","Cristian Santos","doctor","emergency",1
48,"STF-107a58e4","Cristian Santos","doctor","emergency",0
49,"STF-107a58e4","Cristian Santos","doctor","emergency",1
50,"STF-107a58e4","Cristian Santos","doctor","emergency",1
51,"STF-107a58e4","Cristian Santos","doctor","emergency",0
52,"STF-107a58e4","Cristian Santos","doctor","emergency",1
1,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
2,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
3,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
4,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
5,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
6,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
7,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
8,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
9,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
10,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
11,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
12,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
13,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
14,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
15,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
16,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
17,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
18,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
19,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
20,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
21,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
22,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
23,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
24,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
25,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
26,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
27,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
28,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
29,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
30,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
31,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
32,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
33,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
34,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
35,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
36,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
37,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
38,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
39,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
40,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
41,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
42,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
43,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
44,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
45,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
46,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
47,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
48,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
49,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
50,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
51,"STF-ca932dea","Connie Lawrence","doctor","emergency",0
52,"STF-ca932dea","Connie Lawrence","doctor","emergency",1
1,"STF-39082289","Abigail Shaffer","doctor","emergency",1
2,"STF-39082289","Abigail Shaffer","doctor","emergency",1
3,"STF-39082289","Abigail Shaffer","doctor","emergency",0
4,"STF-39082289","Abigail Shaffer","doctor","emergency",1
5,"STF-39082289","Abigail Shaffer","doctor","emergency",1
6,"STF-39082289","Abigail Shaffer","doctor","emergency",0
7,"STF-39082289","Abigail Shaffer","doctor","emergency",1
8,"STF-39082289","Abigail Shaffer","doctor","emergency",1
9,"STF-39082289","Abigail Shaffer","doctor","emergency",0
10,"STF-39082289","Abigail Shaffer","doctor","emergency",1
11,"STF-39082289","Abigail Shaffer","doctor","emergency",1
12,"STF-39082289","Abigail Shaffer","doctor","emergency",0
13,"STF-39082289","Abigail Shaffer","doctor","emergency",1
14,"STF-39082289","Abigail Shaffer","doctor","emergency",1
15,"STF-39082289","Abigail Shaffer","doctor","emergency",0
16,"STF-39082289","Abigail Shaffer","doctor","emergency",1
17,"STF-39082289","Abigail Shaffer","doctor","emergency",1
18,"STF-39082289","Abigail Shaffer","doctor","emergency",0
19,"STF-39082289","Abigail Shaffer","doctor","emergency",1
20,"STF-39082289","Abigail Shaffer","doctor","emergency",1
21,"STF-39082289","Abigail Shaffer","doctor","emergency",0
22,"STF-39082289","Abigail Shaffer","doctor","emergency",1
23,"STF-39082289","Abigail Shaffer","doctor","emergency",1
24,"STF-39082289","Abigail Shaffer","doctor","emergency",0
25,"STF-39082289","Abigail Shaffer","doctor","emergency",1
26,"STF-39082289","Abigail Shaffer","doctor","emergency",1
27,"STF-39082289","Abigail Shaffer","doctor","emergency",0
28,"STF-39082289","Abigail Shaffer","doctor","emergency",1
29,"STF-39082289","Abigail Shaffer","doctor","emergency",1
30,"STF-39082289","Abigail Shaffer","doctor","emergency",0
31,"STF-39082289","Abigail Shaffer","doctor","emergency",0
32,"STF-39082289","Abigail Shaffer","doctor","emergency",1
33,"STF-39082289","Abigail Shaffer","doctor","emergency",0
34,"STF-39082289","Abigail Shaffer","doctor","emergency",0
35,"STF-39082289","Abigail Shaffer","doctor","emergency",1
36,"STF-39082289","Abigail Shaffer","doctor","emergency",0
37,"STF-39082289","Abigail Shaffer","doctor","emergency",1
38,"STF-39082289","Abigail Shaffer","doctor","emergency",1
39,"STF-39082289","Abigail Shaffer","doctor","emergency",0
40,"STF-39082289","Abigail Shaffer","doctor","emergency",1
41,"STF-39082289","Abigail Shaffer","doctor","emergency",1
42,"STF-39082289","Abigail Shaffer","doctor","emergency",0
43,"STF-39082289","Abigail Shaffer","doctor","emergency",1
44,"STF-39082289","Abigail Shaffer","doctor","emergency",1
45,"STF-39082289","Abigail Shaffer","doctor","emergency",0
46,"STF-39082289","Abigail Shaffer","doctor","emergency",1
47,"STF-39082289","Abigail Shaffer","doctor","emergency",1
48,"STF-39082289","Abigail Shaffer","doctor","emergency",0
49,"STF-39082289","Abigail Shaffer","doctor","emergency",1
50,"STF-39082289","Abigail Shaffer","doctor","emergency",1
51,"STF-39082289","Abigail Shaffer","doctor","emergency",0
52,"STF-39082289","Abigail Shaffer","doctor","emergency",1
1,"STF-702887af","Gina Moore","doctor","emergency",1
2,"STF-702887af","Gina Moore","doctor","emergency",1
3,"STF-702887af","Gina Moore","doctor","emergency",0
4,"STF-702887af","Gina Moore","doctor","emergency",1
5,"STF-702887af","Gina Moore","doctor","emergency",0
6,"STF-702887af","Gina Moore","doctor","emergency",0
7,"STF-702887af","Gina Moore","doctor","emergency",1
8,"STF-702887af","Gina Moore","doctor","emergency",1
9,"STF-702887af","Gina Moore","doctor","emergency",0
10,"STF-702887af","Gina Moore","doctor","emergency",1
11,"STF-702887af","Gina Moore","doctor","emergency",1
12,"STF-702887af","Gina Moore","doctor","emergency",0
13,"STF-702887af","Gina Moore","doctor","emergency",0
14,"STF-702887af","Gina Moore","doctor","emergency",1
15,"STF-702887af","Gina Moore","doctor","emergency",0
16,"STF-702887af","Gina Moore","doctor","emergency",1
17,"STF-702887af","Gina Moore","doctor","emergency",1
18,"STF-702887af","Gina Moore","doctor","emergency",0
19,"STF-702887af","Gina Moore","doctor","emergency",1
20,"STF-702887af","Gina Moore","doctor","emergency",0
21,"STF-702887af","Gina Moore","doctor","emergency",0
22,"STF-702887af","Gina Moore","doctor","emergency",1
23,"STF-702887af","Gina Moore","doctor","emergency",1
24,"STF-702887af","Gina Moore","doctor","emergency",0
25,"STF-702887af","Gina Moore","doctor","emergency",1
26,"STF-702887af","Gina Moore","doctor","emergency",1
27,"STF-702887af","Gina Moore","doctor","emergency",0
28,"STF-702887af","Gina Moore","doctor","emergency",1
29,"STF-702887af","Gina Moore","doctor","emergency",0
30,"STF-702887af","Gina Moore","doctor","emergency",0
31,"STF-702887af","Gina Moore","doctor","emergency",1
32,"STF-702887af","Gina Moore","doctor","emergency",1
33,"STF-702887af","Gina Moore","doctor","emergency",0
34,"STF-702887af","Gina Moore","doctor","emergency",1
35,"STF-702887af","Gina Moore","doctor","emergency",1
36,"STF-702887af","Gina Moore","doctor","emergency",0
37,"STF-702887af","Gina Moore","doctor","emergency",1
38,"STF-702887af","Gina Moore","doctor","emergency",0
39,"STF-702887af","Gina Moore","doctor","emergency",0
40,"STF-702887af","Gina Moore","doctor","emergency",1
41,"STF-702887af","Gina Moore","doctor","emergency",1
42,"STF-702887af","Gina Moore","doctor","emergency",0
43,"STF-702887af","Gina Moore","doctor","emergency",1
44,"STF-702887af","Gina Moore","doctor","emergency",1
45,"STF-702887af","Gina Moore","doctor","emergency",0
46,"STF-702887af","Gina Moore","doctor","emergency",1
47,"STF-702887af","Gina Moore","doctor","emergency",1
48,"STF-702887af","Gina Moore","doctor","emergency",0
49,"STF-702887af","Gina Moore","doctor","emergency",1
50,"STF-702887af","Gina Moore","doctor","emergency",1
51,"STF-702887af","Gina Moore","doctor","emergency",0
52,"STF-702887af","Gina Moore","doctor","emergency",1
1,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
2,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
3,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
4,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
5,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
6,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
7,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
8,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
9,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
10,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
11,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
12,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
13,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
14,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
15,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
16,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
17,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
18,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
19,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
20,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
21,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
22,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
23,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
24,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
25,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
26,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
27,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
28,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
29,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
30,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
31,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
32,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
33,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
34,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
35,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
36,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
37,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
38,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
39,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
40,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
41,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
42,"STF-249f63bb","Gabrielle Davis","nurse","emergency",0
43,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
44,"STF-249f63bb","Gabrielle Davis","nurse","emergency",1
